Date,Close,High,Low,Open,Volume
20140516,100.58,100.89,100.14,100.57,6517090
20140518,100.58,100.89,100.14,100.57,6517090
20140519,100.64,100.93,100.125,100.22,6997400
20140520,100.25,100.98,99.96,100.81,5438763
20140521,101.14,101.2,100.53,100.6,5302472
20140522,100.96,101.01,100.08,100.58,5124957
20140523,100.98,101.16,100.67,101.04,5276064
20140525,100.98,101.16,100.67,101.04,5276064
20140526,100.98,101.16,100.67,101.04,5276064
20140527,100.81,101.36,100.265,101.1,4524361
20140528,100.3,100.93,100.12,100.67,4353776
20140529,100.76,100.795,100.15,100.56,3685692
20140530,101.46,101.54,100.55,100.7,5972931
20140601,101.46,101.54,100.55,100.7,5972931
20140602,102.17,102.26,101.01,101.54,5852618
20140603,102.46,102.6,101.84,101.91,6683665
20140604,102.68,102.71,101.94,102.23,5608597
20140605,103.22,103.36,102.42,102.78,4731051
20140606,103.18,103.33,102.8386,103.25,4625104
20140607,103.22,103.36,102.42,102.78,4731051
20140609,103.22,103.23,102.68,103.07,3748814
20140610,104.1,104.12,102.77,103.47,5797720
20140611,103.32,104.15,103.133,103.81,5960610
20140612,102.53,103.21,102.51,103.18,5935011
20140613,102.53,102.65,102.17,102.51,4302188
20140616,102.45,102.89,101.84,102.52,5645516
20140617,101.93,102.2,101.38,102.13,4835591
20140618,102.81,102.83,101.8603,101.91,5449119
20140619,103.81,103.87,102.81,102.93,5481511
20140620,105.27,105.48,104.07,104.37,12464629
20140623,104.75,105.12,104.44,104.91,6066848
20140624,104.59,105.23,104.55,104.63,5915291
20140625,105.76,105.87,104.23,104.23,6411062
20140626,105.65,105.97,105.03,105.84,5106917
20140627,104.99,105.59,104.45,105.47,6462995
20140630,104.62,106,104.52,105.62,6944226
20140701,105.87,106,104.99,105.15,5133942
20140702,105.86,105.97,105.295,105.7,3764939
20140703,105.42,106.25,105.11,105.87,4199082
20140707,106.47,106.74,105.27,105.42,7018503
20140708,105.72,106.25,105.52,106.21,6268373
20140709,106.04,106.21,105.72,106,5721371
20140710,105.8,106,104.52,105.08,4955123
20140711,105.1,106.009,104.86,105.84,5464127
20140714,105.38,105.49,105.11,105.38,7786696
20140715,103.28,105.47,102.77,105.23,14224802
20140716,102.22,103.67,101.95,103.53,11947879
20140717,100.37,102.1,100.26,101.9,11226538
20140718,101.8,101.96,100.37,100.67,8408731
20140721,101.27,101.58,101.02,101.44,6386413
20140722,102.47,102.54,101.78,101.91,6554213
20140723,102.19,102.93,101.8832,102.8,4815975
20140724,102.2,102.73,102.02,102.34,5177227
20140725,102.11,102.4,101.8,102.27,3952062
20140728,102.11,102.4,101.66,101.89,4634905
20140729,101.96,102.51,101.69,102.45,6058738
20140730,102.3,102.85,101.81,102.27,5995785
20140731,100.09,101.84,100.05,101.77,9142218
20140801,99.9,100.41,98.8,99.76,8610725
20140804,100.16,100.375,99.315,99.99,6790846
